dataset,method,seed,avg_fid@task0,avg_fid@task1,avg_fid@task2,avg_fid@task3,avg_fid@task4,avg_fid@task5,avg_fid@task6,avg_fid@task7,avg_fid@task8,avg_fid@task9,avg_fid@task10,avg_fid@task11,avg_fid@task12,avg_fid@task13,avg_fid@task14,avg_fid@task15,avg_fid@task16,avg_fid@task17,avg_fid@task18,avg_fid@task19
cifar100,diag-gr-distill,345,96.4326400756836,99.82760620117188,110.62003580729167,117.7864818572998,125.03382568359375,120.45368830362956,117.14156777518136,125.81199073791504,127.66893429226346,127.59501342773437,,,,,,,,,,
cifar100,gr-distill,123,95.85121154785156,89.89550399780273,96.38143920898438,109.43012619018555,108.76010437011719,120.9040921529134,122.35249437604632,117.5296220779419,121.02661726209853,118.32960739135743,,,,,,,,,,
cifar100,gr-distill,234,85.70427703857422,88.97396850585938,88.2138900756836,95.2614574432373,111.51790924072266,128.6759351094564,127.09871564592633,123.381516456604,127.55306074354384,127.79554977416993,,,,,,,,,,
cifar100,gr-distill,345,96.4326400756836,92.7489013671875,95.60995737711589,104.68429565429688,108.57724304199219,113.18611907958984,114.93448202950614,122.5681676864624,122.2619891696506,132.16867370605468,,,,,,,,,,
cifar100,rank1_opt,123,95.85121154785156,129.78107070922852,117.10607401529948,121.28555297851562,109.77603759765626,110.15027618408203,105.65719059535435,105.91566181182861,106.50428093804254,106.95432052612304,,,,,,,,,,
cifar100,rank1_opt,234,85.70427703857422,97.38217544555664,112.1187744140625,101.17462921142578,99.03260498046875,100.05752690633138,98.76932198660714,101.80043411254883,103.21432834201389,95.7646598815918,,,,,,,,,,
cifar100,rank1_opt,345,96.4326400756836,96.53079605102539,118.56693776448567,120.61482620239258,119.77055206298829,114.7545394897461,125.30046081542969,109.60735130310059,106.75069851345486,113.36636657714844,,,,,,,,,,
cifar100,rank1_opt-gr-distill,123,95.85121154785156,90.01358413696289,101.52894592285156,102.71597671508789,100.2547103881836,97.53912989298503,97.80567387172154,96.77349662780762,95.29867129855685,95.46850280761718,,,,,,,,,,
cifar100,rank1_opt-gr-distill,234,85.70427703857422,83.72119903564453,88.23567199707031,89.58528327941895,89.9771484375,88.77281443277995,86.65548706054688,86.53011798858643,89.16106838650174,87.52931518554688,,,,,,,,,,
cifar100,rank1_opt-gr-distill,345,96.4326400756836,90.08889770507812,91.6758295694987,90.61313438415527,90.18549957275391,93.28393681844075,91.90652574811664,94.26044368743896,95.02798292371962,96.17094116210937,,,,,,,,,,
fmnist,diag,123,12.277873992919922,63.12556266784668,82.45785522460938,66.71542072296143,98.33426094055176,,,,,,,,,,,,,,,
fmnist,diag,234,23.17668342590332,59.95951271057129,80.87773323059082,73.3382511138916,94.79669418334962,,,,,,,,,,,,,,,
fmnist,diag,345,14.679868698120117,93.73618984222412,77.9219430287679,81.74719047546387,106.61177635192871,,,,,,,,,,,,,,,
fmnist,diag-gr-distill,123,12.277873992919922,13.859888553619385,16.79544448852539,22.66587519645691,27.873020553588866,,,,,,,,,,,,,,,
fmnist,diag-gr-distill,234,23.17668342590332,19.81256103515625,20.598164876302082,24.24906587600708,23.729738616943358,,,,,,,,,,,,,,,
fmnist,diag-gr-distill,345,14.679868698120117,17.422008514404297,18.945159912109375,29.076743125915527,31.49038162231445,,,,,,,,,,,,,,,
fmnist,gr-distill,123,12.277873992919922,15.218680381774902,17.432973861694336,20.30040168762207,18.51009006500244,,,,,,,,,,,,,,,
fmnist,gr-distill,234,23.17668342590332,19.64186668395996,21.033000310262043,19.68223214149475,20.889319610595702,,,,,,,,,,,,,,,
fmnist,gr-distill,345,14.679868698120117,15.258689880371094,16.14656988779704,17.596481561660767,18.002388954162598,,,,,,,,,,,,,,,
fmnist,rank1_opt,123,12.277873992919922,78.67182397842407,109.6332015991211,85.81045985221863,94.94157485961914,,,,,,,,,,,,,,,
fmnist,rank1_opt,234,23.17668342590332,47.42299032211304,87.0718453725179,79.07124161720276,92.54579105377198,,,,,,,,,,,,,,,
fmnist,rank1_opt,345,14.679868698120117,79.69597434997559,100.69727579752605,97.65260982513428,103.22093391418457,,,,,,,,,,,,,,,
fmnist,rank1_opt-gr-distill,123,12.277873992919922,12.581717014312744,13.264853795369467,14.317895889282227,14.61611328125,,,,,,,,,,,,,,,
fmnist,rank1_opt-gr-distill,234,23.17668342590332,19.50152063369751,18.159355481465656,17.052713871002197,16.604853248596193,,,,,,,,,,,,,,,
fmnist,rank1_opt-gr-distill,345,14.679868698120117,14.053648948669434,14.353460629781088,14.569220066070557,14.867254447937011,,,,,,,,,,,,,,,
imagenet64,diag-gr-distill,123,43.979671478271484,41.4456844329834,41.39841079711914,45.00375938415527,45.45705642700195,48.70566431681315,72.83108139038086,63.28791618347168,57.78382873535156,67.10352325439453,66.43163681030273,70.44508012135823,68.96571320753831,65.41728782653809,69.05513992309571,69.04112768173218,63.27782395306755,70.72126219007704,70.72572105809262,74.23092765808106
imagenet64,gr-distill,123,43.979671478271484,46.59901237487793,39.40272013346354,41.2393741607666,46.57832336425781,46.565341313680015,52.29827281406948,55.30471897125244,53.15781487358941,52.265234756469724,55.132817008278586,55.37971146901449,59.03037819495568,64.72013201032367,68.18813705444336,70.75389528274536,72.81226752786075,69.65446281433105,70.77244567871094,66.18797540664673
imagenet64,rank1_opt-gr-distill,123,43.979671478271484,39.05222129821777,39.40146509806315,45.20881271362305,43.07334175109863,42.26373481750488,44.318895612444194,42.715025663375854,41.74558978610568,42.51291847229004,43.38666950572621,43.72239891688029,45.01909520075871,45.878361565726145,46.03085174560547,46.08121681213379,47.65781694300034,46.23445341322157,48.20414834273489,48.66627321243286
imagenet32,top_eig-15000-gr-distill,123,43.979671478271484,39.572662353515625,43.71921412150065,43.97456455230713,48.166387939453124,55.13906669616699,56.96062251499721,58.74567151069641,65.44079717000325,70.1850601196289,69.35661315917969,67.88322162628174,63.36074623694787,64.25641890934536,66.87275619506836,69.85278129577637,72.19906234741211,71.60355101691351,70.57263002897564,74.68567276000977
mnist,diag,123,8.199515342712402,82.76538944244385,61.738664309183754,67.02368879318237,56.40422058105469,,,,,,,,,,,,,,,
mnist,diag,234,8.576298713684082,91.77267456054688,65.37315543492635,42.56057143211365,65.3016471862793,,,,,,,,,,,,,,,
mnist,diag,345,8.208946228027344,121.78388261795044,77.240660349528,55.962711334228516,64.79694900512695,,,,,,,,,,,,,,,
mnist,diag-gr-distill,123,8.199515342712402,14.458029747009277,16.349145253499348,16.4820659160614,16.82351474761963,,,,,,,,,,,,,,,
mnist,diag-gr-distill,234,8.576298713684082,9.246882438659668,10.751502672831217,10.346863031387329,13.762034797668457,,,,,,,,,,,,,,,
mnist,diag-gr-distill,345,8.208946228027344,8.971315860748291,13.624548276265463,12.270622730255127,12.270364093780518,,,,,,,,,,,,,,,
mnist,gr-distill,123,8.199515342712402,8.84675645828247,8.979382197062174,8.434133291244507,8.744971656799317,,,,,,,,,,,,,,,
mnist,gr-distill,234,8.576298713684082,7.811305522918701,10.895790735880533,8.00447428226471,11.861723518371582,,,,,,,,,,,,,,,
mnist,gr-distill,345,8.208946228027344,10.715763092041016,9.23111629486084,9.542011618614197,9.646337795257569,,,,,,,,,,,,,,,
mnist,rank1_opt,123,8.199515342712402,97.03206276893616,55.24439573287964,46.43839716911316,57.244110679626466,,,,,,,,,,,,,,,
mnist,rank1_opt,234,8.576298713684082,110.50304102897644,82.61619281768799,45.23613703250885,65.19063024520874,,,,,,,,,,,,,,,
mnist,rank1_opt,345,8.208946228027344,125.20903062820435,83.0345007578532,66.31899547576904,73.28495664596558,,,,,,,,,,,,,,,
mnist,rank1_opt-gr-distill,123,8.199515342712402,8.083138465881348,7.178813139597575,8.652828097343445,7.578204154968262,,,,,,,,,,,,,,,
mnist,rank1_opt-gr-distill,234,8.576298713684082,9.772789716720581,8.91535997390747,8.266513109207153,7.360263156890869,,,,,,,,,,,,,,,
mnist,rank1_opt-gr-distill,345,8.208946228027344,8.542075395584106,7.911593914031982,8.735870122909546,7.791062259674073,,,,,,,,,,,,,,,
imagenet64,rank1_opt,123,43.979671478271484,43.56030082702637,42.21673711140951,68.99877452850342,63.38841705322265,55.60739549001058,73.22182628086635,54.30195689201355,80.09241994222005,85.22787761688232,83.03443492542614,75.75814882914226,71.29980850219727,68.14537388937813,66.96283671061198,68.09614562988281,61.36161658343147,66.70184410942926,60.30593008744089,75.98235445022583
imagenet64,rank1_opt,234,39.55294418334961,37.76726150512695,42.05207061767578,66.3247561454773,62.21632423400879,56.98063214619955,60.467656816755024,61.74232721328735,75.78951772054036,78.78269538879394,74.23322677612305,75.45546213785808,68.15191327608548,65.75273977007184,72.57600835164388,63.1635662317276,58.56616794361788,65.09222878350153,69.02024901540656,70.57122764587402
imagenet64,rank1_opt,345,38.46331787109375,39.68647575378418,42.39202372233073,61.425963401794434,61.00707168579102,62.557285944620766,61.850477763584685,54.01750326156616,85.39915508694119,81.87694778442383,79.50498164783825,71.65197531382243,66.78650313157301,64.41712474822998,65.37346267700195,61.88300561904907,63.52336333779728,59.64510260687934,59.399924629612975,76.48146133422851
imagenet64,diag,123,43.979671478271484,40.797176361083984,47.1854502360026,72.7467851638794,72.23401107788087,62.310473124186196,63.66094480242048,75.20216274261475,86.70082728068034,92.9438907623291,79.94283364035867,83.18303521474202,88.55789243257962,76.26417786734444,73.10237299601236,86.78662610054016,72.23873430139878,70.5669297112359,86.2681047539962,92.27555770874024
imagenet64,diag,234,39.55294418334961,41.627197265625,59.619946797688804,72.10269069671631,62.00951156616211,78.40963554382324,65.17426300048828,61.27397632598877,67.50625695122613,86.80265312194824,80.02941859852184,81.06933466593425,72.8118048447829,77.56373296465192,74.04751536051432,72.53086495399475,73.82827220243566,71.24368286132812,76.34885747809159,87.86059627532958
imagenet64,diag,345,38.46331787109375,56.52601432800293,48.281840006510414,66.20133399963379,67.33075942993165,72.04286066691081,68.90994916643415,66.36987066268921,83.05991066826715,81.80558624267579,87.38982183283025,78.12636661529541,65.68464778019832,75.68396677289691,70.14004262288411,69.8451874256134,71.80251581528607,81.27409150865343,72.2672099063271,78.14030265808105
imagenet64,diag-gr-distill,234,44.704586029052734,40.22915458679199,41.35917409261068,48.5358190536499,54.8179313659668,58.33450826009115,77.90644454956055,72.56292486190796,72.69910769992404,71.18718605041504,68.52685338800603,67.04874738057454,,,,,,,,
imagenet64,rank1_opt-gr-distill,234,44.704586029052734,36.57456398010254,35.51208178202311,36.924702644348145,35.33259162902832,35.31999937693278,36.31851414271763,37.04876184463501,36.45338651869032,38.46871147155762,42.284197027033024,47.11980660756429,,,,,,,,
imagenet64,gr-distill,234,42.71179962158203,37.41972780227661,36.182686169942215,37.77911949157715,36.860342025756836,45.13751347859701,52.3495123726981,45.15857195854187,42.93234507242838,47.335374641418454,49.389163970947266,53.91457859675089,59.14241497333233,,68.05904871622721,66.94539964199066,69.96946357278263,73.84279092152913,71.28261927554482,73.38175029754639
imagenet64,gr-distill,345,48.26933288574219,41.81104278564453,38.255621592203774,41.42696666717529,41.53883934020996,40.16818459828695,46.60066659109933,42.12182593345642,42.969358656141495,42.68015060424805,46.125662023370914,53.506229400634766,55.990648416372444,59.653654370989116,59.589236450195315,59.07697367668152,59.91956901550293,64.43554729885525,67.02786927474172,67.48832197189331
imagenet64,diag-gr-distill-234,234,44.704586029052734,40.22915458679199,41.35917409261068,48.5358190536499,54.8179313659668,58.33450826009115,77.90644454956055,72.56292486190796,72.69910769992404,71.18718605041504,68.52685338800603,67.04874738057454,66.86768106313852,67.18373135157994,74.71397984822592,80.08055830001831,80.49750496359432,94.15748680962457,,
imagenet64,rank1_opt-gr-distill-234,234,44.704586029052734,36.57456398010254,35.51208178202311,36.924702644348145,35.33259162902832,35.31999937693278,36.31851414271763,37.04876184463501,36.45338651869032,38.46871147155762,42.284197027033024,47.11980660756429,48.39934847905086,70.74306297302246,74.09018020629883,71.45669293403625,74.93879217260024,74.52604081895616,74.41778062519275,
